dataset,tnet_50_prec,tnet_50_rec,tnet_50_f1,tnet_80_prec,tnet_80_rec,tnet_80_f1,tnet_100_prec,tnet_100_rec,tnet_100_f1
SIR01_sl1000_mr15_nv5_4,0.545,0.48,0.511,0.647,0.44,0.524,0.714,0.4,0.513
SIR01_sl1000_mr15_nv5_5,0.636,0.636,0.636,0.636,0.636,0.636,0.778,0.636,0.7
SIR01_sl1000_mr15_nv5_6,0.667,0.609,0.636,0.846,0.478,0.611,0.846,0.478,0.611
SIR01_sl1000_mr15_nv5_7,0.571,0.5,0.533,1.0,0.375,0.545,1.0,0.375,0.545
SIR01_sl1000_mr15_nv5_8,0.375,0.375,0.375,0.6,0.375,0.462,0.75,0.375,0.5
SIR01_sl1000_mr15_nv5_9,0.667,0.596,0.629,0.806,0.532,0.641,0.806,0.532,0.641
SIR01_sl1000_mr3_nv10_1,0.833,0.833,0.833,0.84,0.7,0.764,0.84,0.7,0.764
SIR01_sl1000_mr3_nv10_10,0.778,0.778,0.778,1.0,0.778,0.875,1.0,0.667,0.8
SIR01_sl1000_mr3_nv10_11,0.755,0.702,0.727,0.947,0.632,0.758,0.947,0.632,0.758
SIR01_sl1000_mr3_nv10_12,0.719,0.676,0.697,0.786,0.647,0.71,0.786,0.647,0.71
SIR01_sl1000_mr3_nv10_13,0.758,0.694,0.725,0.778,0.583,0.667,0.87,0.556,0.678
SIR01_sl1000_mr3_nv10_14,0.857,0.857,0.857,0.889,0.857,0.873,0.889,0.857,0.873
SIR01_sl1000_mr3_nv10_15,0.375,0.333,0.353,0.75,0.333,0.462,0.75,0.333,0.462
SIR01_sl1000_mr3_nv10_16,0.857,0.75,0.8,0.885,0.719,0.793,0.885,0.719,0.793
SIR01_sl1000_mr3_nv10_17,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SIR01_sl1000_mr3_nv10_18,0.826,0.792,0.809,0.818,0.75,0.783,0.895,0.708,0.791
SIR01_sl1000_mr3_nv10_19,0.483,0.467,0.475,0.765,0.433,0.553,0.923,0.4,0.558
SIR01_sl1000_mr3_nv10_2,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SIR01_sl1000_mr3_nv10_20,0.75,0.75,0.75,0.8,0.667,0.727,0.8,0.667,0.727
SIR01_sl1000_mr3_nv10_3,0.7,0.7,0.7,0.7,0.7,0.7,0.765,0.65,0.703
SIR01_sl1000_mr3_nv10_4,0.917,0.917,0.917,0.9,0.75,0.818,0.9,0.75,0.818
SIR01_sl1000_mr3_nv10_5,0.769,0.714,0.741,0.8,0.714,0.755,0.783,0.643,0.706
SIR01_sl1000_mr3_nv10_6,0.566,0.556,0.561,0.698,0.556,0.619,0.718,0.519,0.602
SIR01_sl1000_mr3_nv10_7,0.727,0.696,0.711,0.727,0.696,0.711,0.812,0.565,0.667
SIR01_sl1000_mr3_nv10_8,1.0,0.6,0.75,1.0,0.6,0.75,1.0,0.6,0.75
SIR01_sl1000_mr3_nv10_9,0.783,0.621,0.692,0.941,0.552,0.696,1.0,0.552,0.711
SIR01_sl250_mr15_nv10_1,0.625,0.588,0.606,0.692,0.529,0.6,0.692,0.529,0.6
SIR01_sl250_mr15_nv10_10,0.508,0.554,0.53,0.577,0.536,0.556,0.625,0.536,0.577
SIR01_sl250_mr15_nv10_11,0.462,0.5,0.48,0.522,0.5,0.511,0.6,0.5,0.545
SIR01_sl250_mr15_nv10_12,0.522,0.632,0.571,0.579,0.579,0.579,0.579,0.579,0.579
SIR01_sl250_mr15_nv10_13,0.462,0.462,0.462,0.5,0.462,0.48,0.545,0.462,0.5
SIR01_sl250_mr15_nv10_14,0.35,0.467,0.4,0.389,0.467,0.424,0.353,0.4,0.375
SIR01_sl250_mr15_nv10_15,0.75,0.375,0.5,0.667,0.25,0.364,0.667,0.25,0.364
SIR01_sl250_mr15_nv10_16,0.538,0.609,0.571,0.52,0.565,0.542,0.591,0.565,0.578
SIR01_sl250_mr15_nv10_17,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SIR01_sl250_mr15_nv10_18,0.5,0.65,0.565,0.545,0.6,0.571,0.545,0.6,0.571
SIR01_sl250_mr15_nv10_19,0.75,0.857,0.8,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl250_mr15_nv10_2,0.545,0.667,0.6,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl250_mr15_nv10_20,0.5,0.571,0.533,0.429,0.429,0.429,0.429,0.429,0.429
SIR01_sl250_mr15_nv10_3,0.625,0.714,0.667,0.714,0.714,0.714,0.818,0.643,0.72
SIR01_sl250_mr15_nv10_4,0.462,0.5,0.48,0.5,0.5,0.5,0.545,0.5,0.522
SIR01_sl250_mr15_nv10_5,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842
SIR01_sl250_mr15_nv10_6,0.468,0.512,0.489,0.5,0.395,0.442,0.5,0.395,0.442
SIR01_sl250_mr15_nv10_7,0.628,0.659,0.643,0.706,0.585,0.64,0.8,0.585,0.676
SIR01_sl250_mr15_nv10_8,0.667,0.667,0.667,0.667,0.444,0.533,0.667,0.444,0.533
SIR01_sl250_mr15_nv10_9,0.4,0.4,0.4,0.5,0.4,0.444,0.5,0.4,0.444
SIR01_sl500_mr15_nv10_1,0.6,0.6,0.6,1.0,0.4,0.571,1.0,0.4,0.571
SIR01_sl500_mr15_nv10_10,0.538,0.538,0.538,0.538,0.538,0.538,0.545,0.462,0.5
SIR01_sl500_mr15_nv10_11,0.6,0.529,0.562,0.75,0.529,0.621,0.9,0.529,0.667
SIR01_sl500_mr15_nv10_12,0.5,0.667,0.571,0.6,0.5,0.545,0.6,0.5,0.545
SIR01_sl500_mr15_nv10_13,0.714,0.714,0.714,0.667,0.571,0.615,0.667,0.571,0.615
SIR01_sl500_mr15_nv10_14,0.629,0.564,0.595,0.677,0.538,0.6,0.724,0.538,0.618
SIR01_sl500_mr15_nv10_15,0.581,0.6,0.59,0.581,0.6,0.59,0.6,0.6,0.6
SIR01_sl500_mr15_nv10_16,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SIR01_sl500_mr15_nv10_17,0.714,0.769,0.741,0.75,0.692,0.72,0.75,0.692,0.72
SIR01_sl500_mr15_nv10_18,0.64,0.64,0.64,0.737,0.56,0.636,0.737,0.56,0.636
SIR01_sl500_mr15_nv10_19,0.704,0.704,0.704,0.75,0.667,0.706,0.81,0.63,0.708
SIR01_sl500_mr15_nv10_2,0.682,0.714,0.698,0.714,0.714,0.714,0.714,0.714,0.714
SIR01_sl500_mr15_nv10_20,0.75,0.72,0.735,0.9,0.72,0.8,0.9,0.72,0.8
SIR01_sl500_mr15_nv10_3,0.75,0.789,0.769,0.75,0.789,0.769,0.8,0.632,0.706
SIR01_sl500_mr15_nv10_4,0.771,0.755,0.763,0.892,0.673,0.767,0.914,0.653,0.762
SIR01_sl500_mr15_nv10_5,0.642,0.654,0.648,0.825,0.635,0.717,0.838,0.596,0.697
SIR01_sl500_mr15_nv10_6,0.935,1.0,0.967,0.933,0.966,0.949,0.933,0.966,0.949
SIR01_sl500_mr15_nv10_7,0.778,1.0,0.875,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl500_mr15_nv10_8,0.556,0.625,0.588,0.5,0.375,0.429,0.75,0.375,0.5
SIR01_sl500_mr15_nv10_9,0.621,0.632,0.626,0.733,0.579,0.647,0.762,0.561,0.646
